Date,Time,Group,Pixel,Area,Plant,Area per plant,No.
2023-04-25,19:38:40,1-mid,903225,1613.44,9,179.27,8
2023-04-25,19:38:49,1-lower,722649,1226.72,11,111.52,9
2023-04-25,20:12:55,2-lower,710846,1191.41,12,99.28,0
2023-04-25,20:13:04,2-mid,820812,1358.52,11,123.50,1
2023-04-25,20:13:13,1-upper,760509,1358.05,10,135.81,2
2023-04-25,20:13:22,2-upper,679106,1212.69,11,110.24,3
2023-04-25,20:13:31,3-lower,347953,590.47,10,59.05,4
2023-04-25,20:13:40,3-mid,796449,1334.67,12,111.22,5
2023-04-25,20:13:49,3-upper,749371,1448.11,10,144.81,7
2023-04-25,20:13:58,1-mid,905185,1616.94,9,179.66,8
2023-04-25,20:14:07,1-lower,725951,1232.32,11,112.03,9
2023-04-25,20:48:11,2-lower,717131,1201.94,12,100.16,0
2023-04-25,20:48:20,2-mid,821452,1359.58,11,123.60,1
2023-04-25,20:48:29,1-upper,764374,1364.95,10,136.50,2
2023-04-25,20:48:38,2-upper,683181,1219.97,11,110.91,3
2023-04-25,20:48:47,3-lower,351320,596.19,10,59.62,4
2023-04-25,20:48:56,3-mid,800279,1341.09,12,111.76,5
2023-04-25,20:49:05,3-upper,753971,1457.00,10,145.70,7
2023-04-25,20:49:14,1-mid,905449,1617.41,9,179.71,8
2023-04-25,20:49:23,1-lower,730882,1240.69,11,112.79,9
2023-04-25,21:23:30,2-lower,718550,1204.32,12,100.36,0
2023-04-25,21:23:39,2-mid,830173,1374.01,11,124.91,1
2023-04-25,21:23:48,1-upper,719901,1285.54,10,128.55,2
2023-04-25,21:23:57,2-upper,684399,1222.14,11,111.10,3
2023-04-25,21:24:06,3-lower,347766,590.16,10,59.02,4
2023-04-25,21:24:15,3-mid,803029,1345.70,12,112.14,5
2023-04-25,21:24:24,3-upper,755781,1460.50,10,146.05,7
2023-04-25,21:24:33,1-mid,905868,1618.16,9,179.80,8
2023-04-25,21:24:42,1-lower,732225,1242.97,11,113.00,9
2023-04-25,21:58:45,2-lower,724343,1214.03,12,101.17,0
2023-04-25,21:58:54,2-mid,831590,1376.36,11,125.12,1
2023-04-25,21:59:03,1-upper,724095,1293.03,10,129.30,2
2023-04-25,21:59:12,2-upper,686981,1226.75,11,111.52,3
2023-04-25,21:59:21,3-lower,350312,594.48,10,59.45,4
2023-04-25,21:59:30,3-mid,790912,1325.40,12,110.45,5
2023-04-25,21:59:39,3-upper,760109,1468.86,10,146.89,7
2023-04-25,21:59:48,1-mid,904482,1615.68,9,179.52,8
2023-04-25,21:59:57,1-lower,736385,1250.04,11,113.64,9
2023-04-25,22:33:59,2-lower,726339,1217.38,12,101.45,0
2023-04-25,22:34:09,2-mid,835918,1383.52,11,125.77,1
2023-04-25,22:34:19,1-upper,725126,1294.87,10,129.49,2
2023-04-25,22:34:29,2-upper,688318,1229.14,11,111.74,3
2023-04-25,22:34:39,3-lower,347621,589.91,10,58.99,4
2023-04-25,22:34:50,3-mid,789674,1323.32,12,110.28,5
2023-04-25,22:34:58,3-upper,762465,1473.41,10,147.34,7
2023-04-25,22:35:07,1-mid,904265,1615.30,9,179.48,8
2023-04-25,22:35:16,1-lower,736956,1251.01,11,113.73,9
2023-04-25,23:09:27,2-lower,730025,1223.55,12,101.96,0
2023-04-25,23:09:36,2-mid,841700,1393.09,11,126.64,1
2023-04-25,23:09:45,1-upper,727150,1298.48,10,129.85,2
2023-04-25,23:09:54,2-upper,691648,1235.09,11,112.28,3
2023-04-25,23:10:03,3-lower,349399,592.93,10,59.29,4
2023-04-25,23:10:12,3-mid,783156,1312.40,12,109.37,5
2023-04-25,23:10:21,3-upper,764424,1477.20,10,147.72,7
2023-04-25,23:10:30,1-mid,905591,1617.67,9,179.74,8
2023-04-25,23:10:39,1-lower,739530,1255.38,11,114.12,9
2023-04-25,23:44:42,2-lower,731209,1225.54,12,102.13,0
2023-04-25,23:44:51,2-mid,842995,1395.23,11,126.84,1
2023-04-25,23:45:00,1-upper,727697,1299.46,10,129.95,2
